report_date,noncomm_long,noncomm_short,net_long,open_interest
1995-03-21,8807,4068,4739,48487
1995-03-28,14334,7547,6787,53056
1995-04-04,15797,6908,8889,53287
1995-04-18,9521,3298,6223,48243
1995-04-25,7135,10742,-3607,54456
1995-05-02,5434,10840,-5406,52660
1995-05-09,5166,11927,-6761,56011
1995-05-16,4761,13634,-8873,57536
1995-05-23,5137,9223,-4086,57106
1995-05-30,4251,5536,-1285,47687
1995-06-06,9146,6455,2691,51531
1995-06-13,10844,6686,4158,49536
1995-06-20,19323,8691,10632,57581
1995-06-27,17745,4821,12924,49540
1995-07-03,16982,2438,14544,49181
1995-07-11,14666,2662,12004,46999
1995-07-18,16237,3511,12726,47148
1995-07-25,5779,2336,3443,39127
1995-08-01,5111,3483,1628,37611
1995-08-08,6301,2704,3597,37515
1995-08-15,9739,3212,6527,40530
1995-08-22,12844,3122,9722,43494
1995-08-29,12372,2835,9537,41875
1995-09-05,7043,1361,5682,35750
1995-09-12,7163,3045,4118,35335
1995-09-19,5807,3779,2028,37218
1995-09-26,6048,2683,3365,33651
1995-10-03,6703,2782,3921,33505
1995-10-10,7168,5535,1633,37249
1995-10-17,6967,7590,-623,39933
1995-10-24,8627,9099,-472,41907
1995-10-31,8346,7581,765,40882
1995-11-07,7450,2827,4623,41639
1995-11-14,7548,2827,4721,41170
1995-11-21,7827,2526,5301,42261
1995-11-28,6284,2577,3707,39115
1995-12-05,6531,3127,3404,38575
1995-12-12,6264,3904,2360,37310
1995-12-19,6392,2345,4047,36466
1995-12-26,8153,3141,5012,36589
1996-01-02,11731,6658,5073,41309
1996-01-09,12542,10764,1778,48226
1996-01-16,13736,13605,131,50822
1996-01-23,13852,12880,972,52036
1996-01-30,12295,11480,815,52537
1996-02-06,9125,8181,944,48302
1996-02-13,7420,7848,-428,47665
1996-02-20,7162,8702,-1540,48836
1996-02-27,5722,7693,-1971,44773
1996-03-05,6150,4650,1500,42212
1996-03-12,8012,4580,3432,45328
1996-03-19,8356,3425,4931,44503
1996-03-26,9376,3722,5654,45848
1996-04-02,8028,3510,4518,44987
1996-04-09,8286,3402,4884,44336
1996-04-16,10010,1855,8155,48265
1996-04-23,13271,2260,11011,53057
1996-04-30,14486,3932,10554,53204
1996-05-07,16819,5279,11540,55550
1996-05-14,15724,4812,10912,55211
1996-05-21,7012,4046,2966,43147
1996-05-28,5732,6114,-382,42083
1996-06-04,5383,6198,-815,42370
1996-06-11,3684,9680,-5996,52273
1996-06-18,7511,10355,-2844,58107
1996-06-25,10051,11634,-1583,63597
1996-07-02,8436,10602,-2166,60881
1996-07-09,8056,10575,-2519,60573
1996-07-16,8277,11656,-3379,62054
1996-07-23,7777,10612,-2835,61746
1996-07-30,6541,9589,-3048,59967
1996-08-06,6583,10848,-4265,61479
1996-08-13,6638,10789,-4151,62395
1996-08-20,6623,9534,-2911,61645
1996-08-27,7399,8607,-1208,58965
1996-09-03,8030,9291,-1261,60443
1996-09-10,8792,7549,1243,59132
1996-09-17,8050,9257,-1207,60462
1996-09-24,8267,8587,-320,60381
1996-10-01,8584,7348,1236,61224
1996-10-08,9329,7426,1903,63495
1996-10-15,9145,6694,2451,62966
1996-10-22,8500,5189,3311,61926
1996-10-29,11258,6334,4924,65558
1996-11-05,10173,6150,4023,63701
1996-11-12,12388,5265,7123,68758
1996-11-19,14003,3765,10238,72878
1996-11-26,14745,2783,11962,67344
1996-12-03,14375,3046,11329,65697
1996-12-10,14210,2719,11491,66130
1996-12-17,10963,2951,8012,58363
1996-12-24,10377,3104,7273,55407
1996-12-31,10573,2942,7631,53981
1997-01-07,13839,3933,9906,60609
