report_date,noncomm_long,noncomm_short,net_long,open_interest
1995-03-21,17167,11285,5882,215727
1995-03-28,14551,11466,3085,210049
1995-04-04,47565,4359,43206,256217
1995-04-18,53491,4571,48920,270834
1995-04-25,46462,4135,42327,259968
1995-05-02,28737,4654,24083,239375
1995-05-09,11961,13694,-1733,225753
1995-05-16,13017,16343,-3326,219029
1995-05-23,11878,21885,-10007,229431
1995-05-30,12245,16358,-4113,210370
1995-06-06,13779,17340,-3561,222778
1995-06-13,17974,11194,6780,217161
1995-06-20,36134,5297,30837,246779
1995-06-27,30032,4562,25470,233644
1995-07-03,18742,18909,-167,224807
1995-07-11,14998,24859,-9861,235665
1995-07-18,22090,11732,10358,226761
1995-07-25,17277,13393,3884,219155
1995-08-01,13726,38413,-24687,219921
1995-08-08,15331,44046,-28715,229933
1995-08-15,17548,30102,-12554,225823
1995-08-22,14193,42004,-27811,230584
1995-08-29,15544,45740,-30196,231970
1995-09-05,14643,52458,-37815,239153
1995-09-12,20875,42118,-21243,238276
1995-09-19,23163,36949,-13786,240625
1995-09-26,17608,37648,-20040,236758
1995-10-03,13970,41142,-27172,231369
1995-10-10,19849,38044,-18195,244307
1995-10-17,16040,40020,-23980,246485
1995-10-24,14053,52252,-38199,255081
1995-10-31,15346,51052,-35706,257725
1995-11-07,17569,40541,-22972,258734
1995-11-14,24093,15188,8905,230555
1995-11-21,18437,14810,3627,213952
1995-11-28,16836,17103,-267,217488
1995-12-05,15749,15874,-125,205466
1995-12-12,24900,13276,11624,211973
1995-12-19,16613,12569,4044,207157
1995-12-26,16205,12925,3280,203366
1996-01-02,24798,11963,12835,217382
1996-01-09,63054,6969,56085,280266
1996-01-16,69403,7178,62225,285396
1996-01-23,80558,4667,75891,314041
1996-01-30,79056,5239,73817,318335
1996-02-06,80479,6972,73507,350544
1996-02-13,60885,4876,56009,323614
1996-02-20,52220,6151,46069,314048
1996-02-27,46752,4931,41821,314214
1996-03-05,33195,10170,23025,294730
1996-03-12,33574,9934,23640,280304
1996-03-19,28017,12861,15156,268780
1996-03-26,40565,8658,31907,283359
1996-04-02,33681,11247,22434,264462
1996-04-09,39927,12773,27154,280096
1996-04-16,21951,17700,4251,277315
1996-04-23,22334,23313,-979,284906
1996-04-30,24602,25545,-943,293583
1996-05-07,28585,21312,7273,299841
1996-05-14,23872,28007,-4135,279759
1996-05-21,23527,35489,-11962,278134
1996-05-28,24581,33850,-9269,279188
1996-06-04,24456,37492,-13036,256689
1996-06-11,15239,54089,-38850,263315
1996-06-18,18586,50966,-32380,269540
1996-06-25,19221,49505,-30284,270719
1996-07-02,11567,52339,-40772,270230
