date,open,high,low,close,volume
2010-04-20,14.9,14.9,14.65,14.68,5800
2010-04-21,14.6,14.7,14.41,14.45,8700
2010-04-22,14.39,14.39,14.17,14.37,10800
2010-04-23,14.32,14.42,14.25,14.42,3300
2010-04-26,14.96,14.96,14.4,14.64,10800
2010-04-27,14.35,14.4,13.91,13.91,20200
2010-04-28,14.08,14.08,13.77,13.94,15400
2010-04-29,14.06,14.06,13.95,13.95,54400
2010-04-30,14.18,14.18,13.62,13.62,40400
2010-05-03,13.45,13.65,13.31,13.42,4900
2010-05-04,13.17,13.17,12.44,12.56,10900
2010-05-05,12,12.48,11.93,12.33,6200
2010-05-06,12.28,12.32,11.36,11.74,5900
2010-05-07,11.99,11.99,11.5,11.71,8400
2010-05-10,12.67,12.72,12.6,12.68,7500
2010-05-11,12.57,12.64,12.5,12.5,5300
2010-05-12,12.67,12.67,12.51,12.62,98200
2010-05-13,12.86,12.92,12.69,12.71,7800
2010-05-14,12.45,12.45,12.05,12.21,11900
2010-05-17,12.36,12.36,11.38,11.7,7000
2010-05-18,11.99,11.99,11.41,11.41,10500
2010-05-19,11.1,11.14,10.76,11.03,2300
2010-05-20,10.8,10.8,10.31,10.44,7000
2010-05-21,10.88,11.1,10.88,11.07,4200
2010-05-24,11.19,11.21,11.03,11.03,3200
2010-05-25,10.45,10.88,10.37,10.88,15800
2010-05-26,11.31,11.35,11.24,11.25,2900
2010-05-27,11.66,12.01,11.66,12.01,7300
2010-05-28,11.85,11.85,11.66,11.75,4800
2010-06-01,11,11.65,11,11.57,2200
2010-06-02,11.56,11.74,11.56,11.74,2100
2010-06-03,11.99,11.99,11.4,11.54,25800
2010-06-04,11.2,11.2,10.81,10.84,6400
2010-06-07,11.19,11.19,10.43,10.46,26200
2010-06-08,10.6,10.74,10.49,10.74,5900
2010-06-09,11.09,11.11,10.79,10.79,25900
2010-06-10,11.19,11.46,11.19,11.41,5500
2010-06-11,11.54,11.54,11.36,11.4,10300
2010-06-14,11.89,11.92,11.76,11.8,2400
2010-06-15,11.94,11.95,11.76,11.95,12300
2010-06-16,11.85,12.02,11.78,11.98,11300
2010-06-17,11.85,11.94,11.77,11.77,4100
2010-06-18,12.36,12.36,11.19,11.86,5000
2010-06-21,12.5,12.5,12.06,12.06,14100
2010-06-22,11.96,12.07,11.75,11.75,4100
2010-06-23,12.28,12.28,11.5,11.68,11000
2010-06-24,11.68,11.68,11.68,11.68,0
2010-06-25,11.68,11.68,11.35,11.45,3800
